著者名,所属1,所属2,所属3,所属4,タイトル,年度,学会名
寺尾 剛史,理化学研究所,,,,固有値分解に対する2ステップ型反復改良法,2022,日本応用数理学会
寺尾 剛史,理化学研究所,,,,固有値分解に対する2ステップ型反復改良法,2022,日本応用数理学会
寺尾 剛史,九州大学,,,,実対称行列に対する部分固有対の逆反復改良法,2024,日本応用数理学会
寺尾 剛史,九州大学,,,,実対称行列に対する部分固有対の逆反復改良法,2024,日本応用数理学会
寺尾 剛史,理化学研究所,,,,縦長行列に対する混合精度Cholesky QRアルゴリズム,2022,日本応用数理学会
寺尾 剛史,理化学研究所,,,,縦長行列に対する混合精度Cholesky QRアルゴリズム,2022,日本応用数理学会
寺尾 剛史,理化学研究所,,,,数値線形代数の諸問題に対する真の解がわかるテスト行列の生成法,2022,日本応用数理学会
寺尾 剛史,理化学研究所,,,,数値線形代数の諸問題に対する真の解がわかるテスト行列の生成法,2022,日本応用数理学会
寺尾 剛史,九州大学,,,,前進誤差に焦点を当てた固有値分解の反復改良法,2025,日本応用数理学会
寺尾 剛史,九州大学,,,,前進誤差に焦点を当てた固有値分解の反復改良法,2025,日本応用数理学会
寺尾 剛史,九州大学,,,,微分方程式の作用素解析で用いられる行列ノルムの精度保証,2024,日本応用数理学会
寺尾 剛史,九州大学,,,,微分方程式の作用素解析で用いられる行列ノルムの精度保証,2024,日本応用数理学会
寺尾 樹哉,数理解析研究所,,,,マトロイド制約下での劣モジュラ関数最大化に対する高速なアルゴリズム,2024,日本応用数理学会
寺尾 樹哉,数理解析研究所,,,,マトロイド制約下での劣モジュラ関数最大化に対する高速なアルゴリズム,2024,日本応用数理学会
寺本 央,関西大学,,,,Wasserstein距離に基づくかたちの交叉：進化的トポロジー最適化への展開,2025,日本応用数理学会
寺本 央,関西大学,,,,Wasserstein距離に基づくかたちの交叉：進化的トポロジー最適化への展開,2025,日本応用数理学会
寺本 敬,京都女子大学,,,,ポリマー微粒子内の相分離構造に関する数値的・数理的解析,2024,日本応用数理学会
寺本 敬,京都女子大学,,,,ポリマー微粒子内の相分離構造に関する数値的・数理的解析,2024,日本応用数理学会
時弘 哲治,武蔵野大学工学研究科,,,,2のべき乗を位数とする有限体上の可積分系,2024,日本応用数理学会
時弘 哲治,武蔵野大学工学研究科,,,,2のべき乗を位数とする有限体上の可積分系,2024,日本応用数理学会
時弘 哲治,武蔵野大学工学研究科数理工学専攻,,,,一般化したファジーエレメンタリセルオートマトンによるパターン形成,2024,日本応用数理学会
時弘 哲治,武蔵野大学工学研究科数理工学専攻,,,,一般化したファジーエレメンタリセルオートマトンによるパターン形成,2024,日本応用数理学会
時弘 哲治,武蔵野大学,,,,離散半線形波動方程式の解のlifespan評価,2024,日本応用数理学会
時弘 哲治,武蔵野大学,,,,離散半線形波動方程式の解のlifespan評価,2024,日本応用数理学会
鹿島 柾,慶應義塾大学,日本学術振興会特別研究員PD,,,Chvatal-Erdos型の条件の緩和とグラフの2-因子の存在,2025,日本応用数理学会
鹿島 柾,慶應義塾大学,日本学術振興会特別研究員PD,,,Chvatal-Erdos型の条件の緩和とグラフの2-因子の存在,2025,日本応用数理学会
軸丸 芳揮,東洋大学,,,,可積分離散べき函数から構成されるMichell-Prager型トラス構造,2025,日本応用数理学会
軸丸 芳揮,東洋大学,,,,可積分離散べき函数から構成されるMichell-Prager型トラス構造,2025,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,相似幾何における相似捩率一定空間曲線の可積分変形の生成する曲面,2022,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,相似幾何における相似捩率一定空間曲線の可積分変形の生成する曲面,2022,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,相似幾何によるS字型離散対数型美的曲線の生成法,2021,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,相似幾何によるS字型離散対数型美的曲線の生成法,2021,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,相似幾何学における空間曲線の時間発展に現れるsine-Gordon方程式,2021,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,相似幾何学における空間曲線の時間発展に現れるsine-Gordon方程式,2021,日本応用数理学会
軸丸 芳揮,東洋大学,,,,第1種・第2種の膜O曲面について,2025,日本応用数理学会
軸丸 芳揮,東洋大学,,,,第1種・第2種の膜O曲面について,2025,日本応用数理学会
軸丸 芳揮,東洋大学,,,,薄肉シェルの変形に現れる対称性,2024,日本応用数理学会
軸丸 芳揮,東洋大学,,,,薄肉シェルの変形に現れる対称性,2024,日本応用数理学会
軸丸 芳揮,東洋大学,,,,薄肉シェルの変形理論を用いた変分公式の導出,2024,日本応用数理学会
軸丸 芳揮,東洋大学,,,,薄肉シェルの変形理論を用いた変分公式の導出,2024,日本応用数理学会
軸丸 芳揮,東洋大学,,,,非等方的平均曲率一定閉超曲面の非一意性,2024,日本応用数理学会
軸丸 芳揮,東洋大学,,,,非等方的平均曲率一定閉超曲面の非一意性,2024,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,離散曲面に対する非等方的エネルギーの停留曲面の幾何,2021,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,離散曲面に対する非等方的エネルギーの停留曲面の幾何,2021,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,離散正則函数を用いたMichellトラス型構造について,2022,日本応用数理学会
軸丸 芳揮,九州大学マス・フォア・インダストリ研究所,,,,離散正則函数を用いたMichellトラス型構造について,2022,日本応用数理学会
軸丸 芳揮,九州大学,,,,離散膜O曲面による形状・応力分布の同時生成,2022,日本応用数理学会
軸丸 芳揮,九州大学,,,,離散膜O曲面による形状・応力分布の同時生成,2022,日本応用数理学会
室井 謙吾,みずほリサーチ&テクノロジーズ株式会社,,,,弾性変形を考慮した浮体の運動方程式における流体力の検討,2022,日本応用数理学会
室井 謙吾,みずほリサーチ&テクノロジーズ株式会社,,,,弾性変形を考慮した浮体の運動方程式における流体力の検討,2022,日本応用数理学会
篠崎 裕司,一橋大学,,,,ラフ・ボラティリティ・モデルの高次弱近似：マルコフ化と楠岡近似によるアプローチ,2025,日本応用数理学会
篠崎 裕司,一橋大学,,,,ラフ・ボラティリティ・モデルの高次弱近似：マルコフ化と楠岡近似によるアプローチ,2025,日本応用数理学会
篠崎 裕司,武蔵野大学,,,,確率微分方程式の弱近似のための再結合測度法のアルゴリズム,2024,日本応用数理学会
篠崎 裕司,武蔵野大学,,,,確率微分方程式の弱近似のための再結合測度法のアルゴリズム,2024,日本応用数理学会
篠田 淳一,Interlocus Inc,,,,切紙ロボット開発の一考察 (A consideration on development of Kirigami robot),2022,日本応用数理学会
篠田 淳一,Interlocus Inc,,,,切紙ロボット開発の一考察 (A consideration on development of Kirigami robot),2022,日本応用数理学会
柴山 允瑠,京都大学情報学研究科,,,,Anosov性を持つリンケージの構成,2025,日本応用数理学会
柴山 允瑠,京都大学情報学研究科,,,,Anosov性を持つリンケージの構成,2025,日本応用数理学会
柴山 允瑠,京都大学,,,,Hamiltonian systems and monotone twist maps for braids,2025,日本応用数理学会
柴山 允瑠,京都大学,,,,Hamiltonian systems and monotone twist maps for braids,2025,日本応用数理学会
柴山 允瑠,京都大学,,,,ビリヤード写像における不変曲線が存在しないための十分条件,2024,日本応用数理学会
柴山 允瑠,京都大学,,,,ビリヤード写像における不変曲線が存在しないための十分条件,2024,日本応用数理学会
柴山 允瑠,京都大学大学院 情報学研究科,,,,折り紙写像における不変曲線とアトラクターの存在について,2025,日本応用数理学会
柴山 允瑠,京都大学大学院 情報学研究科,,,,折り紙写像における不変曲線とアトラクターの存在について,2025,日本応用数理学会
柴山 允瑠,京都大学,,,,折り紙写像における不変曲線の存在について,2024,日本応用数理学会
柴山 允瑠,京都大学,,,,折り紙写像における不変曲線の存在について,2024,日本応用数理学会
柴山 允瑠,京都大学,,,,平面2n体問題の周期解から作られるbraid type,2022,日本応用数理学会
柴山 允瑠,京都大学,,,,平面2n体問題の周期解から作られるbraid type,2022,日本応用数理学会
柴山 允瑠,京都大学,,,,平面Sitnikov問題におけるヘテロクリニック軌道の変分的構成,2025,日本応用数理学会
柴山 允瑠,京都大学,,,,平面Sitnikov問題におけるヘテロクリニック軌道の変分的構成,2025,日本応用数理学会
柴山 允瑠,京都大学大学院情報学研究科,,,,変分法と力学系理論による探査機の軌道設計,2024,日本応用数理学会
柴山 允瑠,京都大学大学院情報学研究科,,,,変分法と力学系理論による探査機の軌道設計,2024,日本応用数理学会
柴山 允瑠,京都大学,,,,変分法による空間Hill 問題の周期軌道の存在証明,2021,日本応用数理学会
柴山 允瑠,京都大学,,,,変分法による空間Hill 問題の周期軌道の存在証明,2021,日本応用数理学会
柴山 允瑠,京都大学,,,,面積保存ツイスト写像の不変曲線の非存在証明,2022,日本応用数理学会
柴山 允瑠,京都大学,,,,面積保存ツイスト写像の不変曲線の非存在証明,2022,日本応用数理学会
柴田 恭子,福島県立医科大学,,,,糖尿病網膜症治療薬としてプロプラノロールの効果に関する計算論的アプローチ研究,2025,日本応用数理学会
柴田 恭子,福島県立医科大学,,,,糖尿病網膜症治療薬としてプロプラノロールの効果に関する計算論的アプローチ研究,2025,日本応用数理学会
柴田 恭子,福島県立医科大学,,,,糖尿病網膜症治療薬としてメマンチンの効果に関する計算論的アプローチ研究,2024,日本応用数理学会
柴田 恭子,福島県立医科大学,,,,糖尿病網膜症治療薬としてメマンチンの効果に関する計算論的アプローチ研究,2024,日本応用数理学会
柴田 達夫,理化学研究所,,,,細胞のシグナル伝達系のデータ同化,2022,日本応用数理学会
柴田 達夫,理化学研究所,,,,細胞のシグナル伝達系のデータ同化,2022,日本応用数理学会
謝 施遥,九州大学,,,,テンソルトレイン分解の領域分割型並列計算アルゴリズムPTTD,2022,日本応用数理学会
謝 施遥,九州大学,,,,テンソルトレイン分解の領域分割型並列計算アルゴリズムPTTD,2022,日本応用数理学会
若松 大誠,早稲田大学大学院 基幹理工学研究科,,,,Calogero-Bogoyavlenskii-Schiff方程式の楕円ソリトン解,2025,日本応用数理学会
若松 大誠,早稲田大学大学院 基幹理工学研究科,,,,Calogero-Bogoyavlenskii-Schiff方程式の楕円ソリトン解,2025,日本応用数理学会
守安 毅,福井大学工学部,,,,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,2025,日本応用数理学会
守安 毅,福井大学工学部,,,,カオス超越性を用いたレーザーカオスによるTHｚ波の出力,2025,日本応用数理学会
守谷 共起,東京大学大学院情報理工学系研究科,,,,Radical Isogenies on Montgomery Curves,2021,日本応用数理学会
守谷 共起,東京大学大学院情報理工学系研究科,,,,Radical Isogenies on Montgomery Curves,2021,日本応用数理学会
守谷 共起,東京大学,,,,種数3における分解 Richelot 同種写像を計算するアルゴリズムとその応用,2022,日本応用数理学会
守谷 共起,東京大学,,,,種数3における分解 Richelot 同種写像を計算するアルゴリズムとその応用,2022,日本応用数理学会
守田 智,静岡大学,,,,２人２戦略対称ゲームのネットワーク効果分析,2022,日本応用数理学会
守田 智,静岡大学,,,,２人２戦略対称ゲームのネットワーク効果分析,2022,日本応用数理学会
守田 智,静岡大学,,,,人流による空間的伝播,2021,日本応用数理学会
守田 智,静岡大学,,,,人流による空間的伝播,2021,日本応用数理学会
守本 晃,大阪教育大学,,,,Parseval Frame に関する不等式について,2021,日本応用数理学会
守本 晃,大阪教育大学,,,,Parseval Frame に関する不等式について,2021,日本応用数理学会
守本 晃,大阪教育大学,,,,Parseval Frame に関する不等式について２,2022,日本応用数理学会
守本 晃,大阪教育大学,,,,Parseval Frame に関する不等式について２,2022,日本応用数理学会
守本 晃,大阪教育大学,,,,フーリエ・メリン変換を用いたスケールパラメータと平行移動パラメータの推定,2021,日本応用数理学会
守本 晃,大阪教育大学,,,,フーリエ・メリン変換を用いたスケールパラメータと平行移動パラメータの推定,2021,日本応用数理学会
守本 晃,大阪教育大学,,,,連続ウェーブレット変換による音声信号の拡大率を判定する試み,2022,日本応用数理学会
守本 晃,大阪教育大学,,,,連続ウェーブレット変換による音声信号の拡大率を判定する試み,2022,日本応用数理学会
手老 篤史,九州大学 マス・フォア・インダストリ研究所,,,,空間離散的な反応拡散系に基づく真正粘菌の記憶メカニズムの数理モデリング,2025,日本応用数理学会
手老 篤史,九州大学 マス・フォア・インダストリ研究所,,,,空間離散的な反応拡散系に基づく真正粘菌の記憶メカニズムの数理モデリング,2025,日本応用数理学会
手老 篤史,九州大学 マス・フォア・インダストリ研究所,,,,形成・破壊粒⼦を⽤いたバイアス付き拡散律速凝集によるプラーク起因⾎管狭窄の数値 シミュレーション,2025,日本応用数理学会
手老 篤史,九州大学 マス・フォア・インダストリ研究所,,,,形成・破壊粒⼦を⽤いたバイアス付き拡散律速凝集によるプラーク起因⾎管狭窄の数値 シミュレーション,2025,日本応用数理学会
狩野 隼輔,東北大学 数理科学共創社会センター,,,,因果解析とマグニチュードホモロジー,2025,日本応用数理学会
狩野 隼輔,東北大学 数理科学共創社会センター,,,,因果解析とマグニチュードホモロジー,2025,日本応用数理学会
酒井 裕行,明治大学大学院,,,,Riemann多様体上のHZ型共役勾配法の固有値問題への応用,2022,日本応用数理学会
酒井 裕行,明治大学大学院,,,,Riemann多様体上のHZ型共役勾配法の固有値問題への応用,2022,日本応用数理学会
酒井 裕行,明治大学大学院,,,,リーマン多様体上の最適化アルゴリズムの固有値問題への応用,2024,日本応用数理学会
酒井 裕行,明治大学大学院,,,,リーマン多様体上の最適化アルゴリズムの固有値問題への応用,2024,日本応用数理学会
首藤 啓,東京都立大学理学研究科,,,,結合エノン写像における一様双曲領域について,2024,日本応用数理学会
首藤 啓,東京都立大学理学研究科,,,,結合エノン写像における一様双曲領域について,2024,日本応用数理学会
秋元 琢磨,東京理科大学,,,,階段状の超一般化Boole変換における異常拡散,2022,日本応用数理学会
秋元 琢磨,東京理科大学,,,,階段状の超一般化Boole変換における異常拡散,2022,日本応用数理学会
秋山 俊太,東京大学情報理工学系研究科数理情報学専攻,,,,全勾配を用いない勾配推定量: 1次及び2次の最適性と連合学習への応用,2022,日本応用数理学会
秋山 俊太,東京大学情報理工学系研究科数理情報学専攻,,,,全勾配を用いない勾配推定量: 1次及び2次の最適性と連合学習への応用,2022,日本応用数理学会
秋山 正和（明治大学先端数理科学インスティチュート(MIMS)）,,,,,結晶構造シミュレータの開発について,2021,日本応用数理学会
秋山 正和（明治大学先端数理科学インスティチュート(MIMS)）,,,,,結晶構造シミュレータの開発について,2021,日本応用数理学会
秋田 康輔,大阪大学大学院情報科学研究科情報基礎数学専攻,,,,観測演算子の推測に深層学習を用いるデータ同化推定,2021,日本応用数理学会
秋田 康輔,大阪大学大学院情報科学研究科情報基礎数学専攻,,,,観測演算子の推測に深層学習を用いるデータ同化推定,2021,日本応用数理学会
秋田 大,東京大学大学院情報理工学系研究科知能機械情報学専攻,,,,試行間平均によるリザバー計算の情報処理能力の拡張,2025,日本応用数理学会
秋田 大,東京大学大学院情報理工学系研究科知能機械情報学専攻,,,,試行間平均によるリザバー計算の情報処理能力の拡張,2025,日本応用数理学会
秋田 大,東京大学,,,,線路ネットワークの一方向性とその幾何学的ルール,2025,日本応用数理学会
秋田 大,東京大学,,,,線路ネットワークの一方向性とその幾何学的ルール,2025,日本応用数理学会
秋葉 博,日本応用数理学会・会長,,,,会長挨拶,2022,日本応用数理学会
秋葉 博,日本応用数理学会・会長,,,,会長挨拶,2022,日本応用数理学会
秋葉 博,日本応用数理学会・会長,,,,表彰式,2022,日本応用数理学会
秋葉 博,日本応用数理学会・会長,,,,表彰式,2022,日本応用数理学会
重田 雄樹,東京経済大学経済学部,,,,時間非整合的な最適消費投資問題における二つの均衡の同値性について,2024,日本応用数理学会
重田 雄樹,東京経済大学経済学部,,,,時間非整合的な最適消費投資問題における二つの均衡の同値性について,2024,日本応用数理学会
重富 尚太,九州大学マス・フォア・インダストリ研究所,,,,カライドサイクルの存在証明,2025,日本応用数理学会
重富 尚太,九州大学マス・フォア・インダストリ研究所,,,,カライドサイクルの存在証明,2025,日本応用数理学会
重富 尚太,九州大学大学院数理学府,,,,カライドサイクルの明示公式,2022,日本応用数理学会
重富 尚太,九州大学大学院数理学府,,,,カライドサイクルの明示公式,2022,日本応用数理学会
重富 尚太,九州大学大学院数理学府,,,,捩率一定空間曲線およびtorsion angle一定空間離散曲線に対する楕円テータ函数による明示公式,2021,日本応用数理学会
重富 尚太,九州大学大学院数理学府,,,,捩率一定空間曲線およびtorsion angle一定空間離散曲線に対する楕円テータ函数による明示公式,2021,日本応用数理学会
出原 浩史,宮崎大学,,,,3成分燃焼モデルと燃焼界面,2025,日本応用数理学会
出原 浩史,宮崎大学,,,,3成分燃焼モデルと燃焼界面,2025,日本応用数理学会
出原 浩史,宮崎大学,,,,Free boundary problems related to controlling invasive aline species,2022,日本応用数理学会
出原 浩史,宮崎大学,,,,Free boundary problems related to controlling invasive aline species,2022,日本応用数理学会
出原 浩史,宮崎大学,,,,遅延を含むFisher-KPP方程式のsemi-waveについて -数値計算の視点から-,2024,日本応用数理学会
出原 浩史,宮崎大学,,,,遅延を含むFisher-KPP方程式のsemi-waveについて -数値計算の視点から-,2024,日本応用数理学会
出口 哲生,お茶の水女子大学,,,,高分子のファントムネットワークにおける架橋鎖揺らぎの普遍性と弾性率の微視的厳密解,2022,日本応用数理学会
出口 哲生,お茶の水女子大学,,,,高分子のファントムネットワークにおける架橋鎖揺らぎの普遍性と弾性率の微視的厳密解,2022,日本応用数理学会
出口 哲生,お茶の水女子大学,,,,量子ダークマルチソリトンのダイナミクス,2022,日本応用数理学会
出口 哲生,お茶の水女子大学,,,,量子ダークマルチソリトンのダイナミクス,2022,日本応用数理学会
出口 哲生,お茶の水女子大学,,,,量子系に現れるダークソリトン,2021,日本応用数理学会
出口 哲生,お茶の水女子大学,,,,量子系に現れるダークソリトン,2021,日本応用数理学会
出口 翔大,筑波大学,日本学術振興会特別研究員PD,,,Physics-Informed Neural Networkに対する距離関数・動的重みの導入と非圧縮流の逆解析への適用,2025,日本応用数理学会
出口 翔大,筑波大学,日本学術振興会特別研究員PD,,,Physics-Informed Neural Networkに対する距離関数・動的重みの導入と非圧縮流の逆解析への適用,2025,日本応用数理学会
春名 純一,京都大学,,,,Reservoir computing における普遍性と計算性能,2022,日本応用数理学会
春名 純一,京都大学,,,,Reservoir computing における普遍性と計算性能,2022,日本応用数理学会
緒方 秀教,電気通信大学,,,,IMT-DE変換を⽤いた関数近似,2025,日本応用数理学会
緒方 秀教,電気通信大学,,,,IMT-DE変換を⽤いた関数近似,2025,日本応用数理学会
緒方 秀教,電気通信大学大学院情報理工学研究科情報・ネットワーク工学専攻,,,,IMT型変換と周期的Sinc近似による数値不定積分,2021,日本応用数理学会
緒方 秀教,電気通信大学大学院情報理工学研究科情報・ネットワーク工学専攻,,,,IMT型変換と周期的Sinc近似による数値不定積分,2021,日本応用数理学会
緒方 秀教,電気通信大学,,,,IMT型変数変換を用いた常微分方程式初期値問題の数値解法,2022,日本応用数理学会
緒方 秀教,電気通信大学,,,,IMT型変数変換を用いた常微分方程式初期値問題の数値解法,2022,日本応用数理学会
緒方 秀教,電気通信大学大学院情報理工学研究科情報・ネットワーク工学専攻,,,,佐藤超函数論に基づく無限区間上での関数近似、数値微分および数値不定積分,2021,日本応用数理学会
緒方 秀教,電気通信大学大学院情報理工学研究科情報・ネットワーク工学専攻,,,,佐藤超函数論に基づく無限区間上での関数近似、数値微分および数値不定積分,2021,日本応用数理学会
緒方 秀教,電気通信大学,,,,数値積分に対するDE公式とIMT型公式との関係について,2024,日本応用数理学会
緒方 秀教,電気通信大学,,,,数値積分に対するDE公式とIMT型公式との関係について,2024,日本応用数理学会
緒方 秀教,電気通信大学,,,,線形一般固有値問題に対する非線形べき乗法の収束解析,2022,日本応用数理学会
緒方 秀教,電気通信大学,,,,線形一般固有値問題に対する非線形べき乗法の収束解析,2022,日本応用数理学会
緒方 秀教,電気通信大学,,,,量子力学固有値問題の数値不定積分による数値解法,2022,日本応用数理学会
緒方 秀教,電気通信大学,,,,量子力学固有値問題の数値不定積分による数値解法,2022,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,シミュレーションを用いた議席配分問題における公平性基準の分析,2022,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,シミュレーションを用いた議席配分問題における公平性基準の分析,2022,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,感度解析を利用した得票数と獲得議席数の関係分析,2024,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,感度解析を利用した得票数と獲得議席数の関係分析,2024,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,議席配分問題における公平性と最小議席数の関係について,2021,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,議席配分問題における公平性と最小議席数の関係について,2021,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,得票数と投票力指数の感度分析,2025,日本応用数理学会
諸星 穂積,政策研究大学院大学,,,,得票数と投票力指数の感度分析,2025,日本応用数理学会
徐 百歌,神戸大学大学院システム情報学研究科計算科学専攻,,,,GENERICシステムに対する構造保存型深層物理モデル,2022,日本応用数理学会
徐 百歌,神戸大学大学院システム情報学研究科計算科学専攻,,,,GENERICシステムに対する構造保存型深層物理モデル,2022,日本応用数理学会
徐 百歌,神戸大学,,,,Navier-Stokes方程式に対するPINNsの残差学習による事後誤差推定,2025,日本応用数理学会
徐 百歌,神戸大学,,,,Navier-Stokes方程式に対するPINNsの残差学習による事後誤差推定,2025,日本応用数理学会
徐 百歌,神戸大学大学院理学研究科,,,,言語のための状態空間モデルによるハミルトン力学の時系列予測の試み,2025,日本応用数理学会
徐 百歌,神戸大学大学院理学研究科,,,,言語のための状態空間モデルによるハミルトン力学の時系列予測の試み,2025,日本応用数理学会
徐 百歌,神戸大学,,,,交流アンケートデータからのネットワーク特徴量推定について,2022,日本応用数理学会
徐 百歌,神戸大学,,,,交流アンケートデータからのネットワーク特徴量推定について,2022,日本応用数理学会
徐 百歌,神戸大学大学院理学研究科,,,,非線形波動のモデリングのためのハミルトニアン密度の作用素学習,2024,日本応用数理学会
徐 百歌,神戸大学大学院理学研究科,,,,非線形波動のモデリングのためのハミルトニアン密度の作用素学習,2024,日本応用数理学会
徐 百歌,神戸大学大学院理学研究科,,,,複数のハミルトン系を同時に学習するシンプレクティックニューラルネットワーク,2025,日本応用数理学会
徐 百歌,神戸大学大学院理学研究科,,,,複数のハミルトン系を同時に学習するシンプレクティックニューラルネットワーク,2025,日本応用数理学会
徐 芷萱,名古屋大学工学研究科応用物理学専攻,,,,行列の積を係数行列に持つ線形方程式ABx＝bに対するクリロフ部分空間法の適用について,2024,日本応用数理学会
徐 芷萱,名古屋大学工学研究科応用物理学専攻,,,,行列の積を係数行列に持つ線形方程式ABx＝bに対するクリロフ部分空間法の適用について,2024,日本応用数理学会
小磯 深幸,九州大学,,,,2つの互いに平行な超平面上に自由境界を持つ平均曲率一定超曲面の安定性,2021,日本応用数理学会
小磯 深幸,九州大学,,,,2つの互いに平行な超平面上に自由境界を持つ平均曲率一定超曲面の安定性,2021,日本応用数理学会
小磯 深幸,九州大学 マス・フォア・インダストリ研究所,,,,Geometry of anisotropic double crystals,2021,日本応用数理学会
小磯 深幸,九州大学 マス・フォア・インダストリ研究所,,,,Geometry of anisotropic double crystals,2021,日本応用数理学会
小磯 深幸,九州大学,,,,ピローボックスの曲線折り形状による仮設構造物の多目的最適化,2024,日本応用数理学会
小磯 深幸,九州大学,,,,ピローボックスの曲線折り形状による仮設構造物の多目的最適化,2024,日本応用数理学会
小磯 深幸,九州大学,,,,ピローボックスの等長変形,2025,日本応用数理学会
小磯 深幸,九州大学,,,,ピローボックスの等長変形,2025,日本応用数理学会
小磯 深幸,九州大学マス・フォア・インダストリ研究所,,,,ピロー型ボックスの体積最大解の存在と一意性,2022,日本応用数理学会
小磯 深幸,九州大学マス・フォア・インダストリ研究所,,,,ピロー型ボックスの体積最大解の存在と一意性,2022,日本応用数理学会
小磯 深幸,九州大学,,,,区分的に連続な曲線と曲面の幾何,2021,日本応用数理学会
小磯 深幸,九州大学,,,,区分的に連続な曲線と曲面の幾何,2021,日本応用数理学会
小磯 深幸,九州大学,,,,非等方的平均曲率一定閉超曲面の非一意性,2024,日本応用数理学会
小磯 深幸,九州大学,,,,非等方的平均曲率一定閉超曲面の非一意性,2024,日本応用数理学会
小笠原 義仁,芝浦工業大学,三芳合金工業株式会社,,,Primitive Chaosの認識論への応用,2025,日本応用数理学会
小笠原 義仁,芝浦工業大学,三芳合金工業株式会社,,,Primitive Chaosの認識論への応用,2025,日本応用数理学会
小笠原 隆行,ソニーセミコンダクタソリューションズ株式会社,,,,三次元畳み込みニューラルネットワークを用いた有限差分時間領域法による光学シミュレーションの時間発展予測,2022,日本応用数理学会
小笠原 隆行,ソニーセミコンダクタソリューションズ株式会社,,,,三次元畳み込みニューラルネットワークを用いた有限差分時間領域法による光学シミュレーションの時間発展予測,2022,日本応用数理学会
小貫 啓史,東京大学,,,,2次元同種写像を用いたDeuring対応計算アルゴリズム,2024,日本応用数理学会
小貫 啓史,東京大学,,,,2次元同種写像を用いたDeuring対応計算アルゴリズム,2024,日本応用数理学会
小貫 啓史,東京大学大学院情報理工学系研究科,,,,Radical Isogenies on Montgomery Curves,2021,日本応用数理学会
小貫 啓史,東京大学大学院情報理工学系研究科,,,,Radical Isogenies on Montgomery Curves,2021,日本応用数理学会
小貫 啓史,東京大学大学院情報理工学系研究科,,,,効率的な同種写像計算Square-root Vélu法における最適な添え字集合の探索,2022,日本応用数理学会
小貫 啓史,東京大学大学院情報理工学系研究科,,,,効率的な同種写像計算Square-root Vélu法における最適な添え字集合の探索,2022,日本応用数理学会
小貫 啓史,東京大学,,,,次元2の同種写像を用いるハッシュ関数に対しての衝突発見アルゴリズム,2024,日本応用数理学会
小貫 啓史,東京大学,,,,次元2の同種写像を用いるハッシュ関数に対しての衝突発見アルゴリズム,2024,日本応用数理学会
小宮 聖司,神奈川工科大学創造工学部自動車システム開発工学科,,,,積分区間分割によるピーク型関数の数値積分,2021,日本応用数理学会
小宮 聖司,神奈川工科大学創造工学部自動車システム開発工学科,,,,積分区間分割によるピーク型関数の数値積分,2021,日本応用数理学会
小橋 恒士,鳥取大,,,,ベイズ推定による超並列計算の性能予測,2021,日本応用数理学会
小橋 恒士,鳥取大,,,,ベイズ推定による超並列計算の性能予測,2021,日本応用数理学会
小穴 智大,慶應義塾大学,,,,Faster algorithms on linear delta-matroids,2025,日本応用数理学会
小穴 智大,慶應義塾大学,,,,Faster algorithms on linear delta-matroids,2025,日本応用数理学会
小原 光暁,東京大学,,,,リーマン多様体上の不等式制約付き 最適化問題に対する信頼領域内点法,2025,日本応用数理学会
小原 光暁,東京大学,,,,リーマン多様体上の不等式制約付き 最適化問題に対する信頼領域内点法,2025,日本応用数理学会
小山 翔平,立命館大学,,,,ランダムウォークや相関付きランダムウォークにもとづく時系列解析,2024,日本応用数理学会
小山 翔平,立命館大学,,,,ランダムウォークや相関付きランダムウォークにもとづく時系列解析,2024,日本応用数理学会
小山 翔平,立命館大学,,,,量子ウォークにもとづく 時系列解析,2024,日本応用数理学会
小山 翔平,立命館大学,,,,量子ウォークにもとづく 時系列解析,2024,日本応用数理学会
小山田 耕二,大阪成蹊大学,,,,データ駆動型の偏微分方程式の推定~可積分系を用いた実験,2024,日本応用数理学会
小山田 耕二,大阪成蹊大学,,,,データ駆動型の偏微分方程式の推定~可積分系を用いた実験,2024,日本応用数理学会
小山田 耕二,京都大学,,,,ニューラルネットワークを用いた偏微分方程式の解法,2021,日本応用数理学会
